"","hours","UPS1","UPS2","RPDU1","RPDU2","RPDU3","RPDU4","RPDU5","RPDU6"
"1",0.0833333333333333,6.31203928926708,5.71485075158592,2.25876502339116,2.20961233466463,2.00930119895016,1.91784739749084,1.81488971631361,1.81647437004261
"2",0.166666666666667,6.32980021975404,5.84854389856681,2.29722510306912,2.26215860663106,2.11554860298636,1.87368910887442,1.83128119721959,1.79844149954031
"3",0.25,6.51607268429098,5.91489471973004,2.34949212665815,2.26695152772497,2.1299391729899,1.98208125800169,1.89993103276221,1.8025722858841
"4",0.333333333333333,6.4716603900561,6.01214393766117,2.40287147881951,2.24459213369293,2.23260111440311,1.95165148718866,1.83126498407901,1.82082312953405
"5",0.416666666666667,6.51685032519153,6.14633687093558,2.38160436709775,2.20161486327248,2.29484198131543,1.99310283163659,1.94808718082961,1.84393597197525
"6",0.5,6.63568953585369,5.89003989613361,2.3812072735924,2.17169994267877,2.23771195102945,2.04178557196418,1.90368538856548,1.78963930415703
"7",0.583333333333333,6.43769673380352,5.93807705971728,2.36535159640939,2.15437732945164,2.17963753646775,2.07850313935209,1.86960833938347,1.72829585245647
"8",0.666666666666667,6.44410281886628,5.8339044215353,2.37737774197913,2.08074551861941,2.11527775789901,2.11514425971329,1.82622703078567,1.76323493140508
"9",0.75,6.50771550112787,5.83992897587562,2.37087542334687,2.07214075833769,2.15725224305281,2.15243996826768,1.86068184352826,1.73425424047018
"10",0.833333333333333,6.48143237316778,5.88718781285597,2.36867947359028,2.12890960852198,2.12684847445413,2.17278096543654,1.82856669429992,1.74283496972091
"11",0.916666666666667,6.48176488336773,5.76215874955841,2.3772996859968,2.11119658384668,2.04782644085616,2.1594019405581,1.80125611595898,1.74694286570943
"12",1,6.4123828232402,5.79411035612323,2.41329481787901,2.18690979113183,1.9373422036208,2.16486508336931,1.80534571379915,1.69873556956333
"13",1.08333333333333,6.41167036893795,5.95980395907889,2.47838282017408,2.19124163362806,1.98726654768515,2.16616123717093,1.82252223024546,1.72589985911315
"14",1.16666666666667,6.37946375523914,5.99196483404951,2.46653724030538,2.201503620114,2.00910040274843,2.12419219700836,1.77178175308812,1.79831337602436
"15",1.25,6.50836794593034,5.84177003123812,2.4678784072413,2.22513657395725,2.00261536771685,2.12708236985252,1.7607767385573,1.76664851984324
"16",1.33333333333333,6.34943365116549,6.02545136495161,2.46395177721539,2.19052789872745,2.09212800548262,2.06426546119016,1.81779067289811,1.74622120060337
"17",1.41666666666667,6.393730241239,5.92630134546486,2.46130958086204,2.16589670985007,2.07411787459393,2.0408319016494,1.780279103557,1.79759641619141
"18",1.5,6.17255094269935,5.95940981325533,2.42868393875695,2.15757451111198,2.01763287737002,1.99003324127755,1.76184581045226,1.77619037698592
"19",1.58333333333333,6.33002283940817,5.84061252723999,2.45680215940033,2.23685403868974,1.99533369295328,1.95880301647166,1.78962182328157,1.73322063585157
"20",1.66666666666667,6.23592037967446,6.07281669805584,2.52164276679132,2.25501936802707,2.02388258915731,1.93693188672522,1.78484098413649,1.78641948289288
